School,Athletic Dept,Football Team,Men’s Basketball Team,Football Hashtag,Basketball Hashtag,Alternate Hashtag
South Carolina,@GamecocksOnline,@GamecockFB,@GamecockMBB,#Gamecocks,#Gamecocks,
South Carolina State,@SCStateAthletic,@SCState_FB,@SCStateAthletic,#SCState,#SCState,
South Carolina Upstate,@UpstateSpartans,,@UpstateMB,,#USCUpstate,
South Dakota,@SDCoyotes,@SDCoyotesFB,@SDCoyotesMBB,#SDCoyotes,#SDCoyotes,
South Dakota State,@GoJacksSDSU,@GoJacksFB,@GoJacksMBB,#GoJacks,#GoJacks,
South Florida,@USFAthletics,@USFFootball,@USFMBB,#USF,#USF,
Southeast Missouri State,@GoSoutheast,@SEMOFootball,@SEMOMBB,#SeMO,#SeMO,
Southeastern Louisiana,@SLUAthletics,@SLUFootball,@SLU_Hoops,#LionUp,#LionUp,
Southern,@SouthernUsports,@SouthernUsports,@JaguarHoops,#SouthernU,#SouthernU,
Southern Illinois,@SIUSalukis,@SIU_Football,@SIU_Basketball,#SIU,#SIU,
Southern Miss,@USMGoldenEagles,@SouthernMissFB,@SouthernMissMBB,#SouthernMiss,#SouthernMiss,
Southern Utah,@SUUThunderbirds,@SUUFB,@SUUBasketball,#SUU,#SUU,
St. Bonaventure,@StBonaventure,,@BonniesMBB,,#Bonnies,
St. Francis (NY),@SFBKTerriers,,@SFBKMBB,,#SFNY,
St. Francis (PA),@SFUAthletics,@RedFlashFB,@RedFlashMBB,#SFU,#SFU,
St. John’s,@StJohnsRedStorm,,@StJohnsBBall,,#SJUBB,
Stanford,@GoStanford,@StanfordFball,@StanfordMBB,#Stanford,#Stanford,
Stephen F. Austin,@SFA_Athletics,@SFA_Football,@SFA_MBB,#SFA,#SFA,
Stetson,@StetsonHatters,@StetsonFootball,@StetsonMBB,#Stetson,#Stetson,
Stony Brook,@SBAthletics,@StonyBrookFB,@StonyBrookMBB,#StonyBrook,#StonyBrook,
Syracuse,@Cuse,@CuseFootball,@Cuse_MBB,#Syracuse,#Syracuse,
Tarleton State,@TarletonSports,@TarletonFB,@TarletonMBB,#TexanNation,#TexanNation,#Tarleton
TCU,@TCU_Athletics,@TCUFootball,@TCUBasketball,#GoFrogs,#GoFrogs,#TCU
Temple,@TempleOwls,@Temple_FB,@TUMBBHoops,#Temple,#Temple,
Tennessee,@Vol_Sports,@Vol_Football,@Vol_Hoops,#Vols,#Vols,
Tennessee State,@TSU_Tigers,@TSU_Football,@TSUTigersMBB,#TSUTigers,#TSUTigers,
Tennessee Tech,@TTUGoldenEagles,@TNTechFootball,@TTU_Basketball,#TNTech,#TNTech,
Tennessee-Martin,@UTMSports,@UTM_Football ,@SkyhawkHoops,#UTMartin,#UTMartin,
Texas,@TexasLonghorns,@TexasFootball,@TexasMBB,#HookEm,#HookEm,
Texas A&M,@AggieAthletics,@AggieFootball,@AggieMBK,#GigEm,#GigEm,#TAMU
Texas A&M-Corpus Christi,@Go_Islanders,,@IslandersMBB,,#TAMUCC,
Texas Southern,@TXSOTigers,@TSUFootball,@TSUMensHoops,#TexasSouthern,#TexasSouthern,
Texas State,@TXStateBobcats,@TXStateFootball,@TXStateMBB,#TexasState,#TexasState,
Texas Tech,@TechAthletics,@TexasTechFB,@TexasTechMBB,#RedRaiders,#RedRaiders,#TTU
Texas-Arlington,@UTAMavs,,@UTA_MBB,,#UTA,
The Citadel,@CitadelSports,@CitadelFootball,@CitadelHoops,#Citadel,#Citadel,
Toledo,@ToledoRockets,@ToledoFB,@ToledoMBB,#GoRockets,#GoRockets,
Towson,@TowsonTigers,@Towson_FB,@Towson_MBB,#Towson,#Towson,
Troy,@TroyAthletics,@TroyTrojansFB,@TroyTrojansMBB,#Troy,#Troy,
Tulane,@GreenWaveNews,@GreenWaveFB,@GreenWaveMBB,#RollWave,#RollWave,#Tulane
Tulsa,@TulsaHurricane,@TulsaFootball,@TUMBasketball,#TulsaFB,#TulsaHoops,
UAB,@UABathletics,@UAB_FB,@UAB_MBB,#UAB,#UAB,
UC-Davis,@UCDavisAggies,@UCDFootball,@UCDavisMBB,#UCDavis,#UCDavis,
UC-Irvine,@UCIAthletics,,@UCImbb,,#UCIrvine,
UC-Riverside,@UCR_Athletics,,@UCRMBB,,#UCRiverside,
UC-San Diego,@UCSDTritons,,@UCSDmbb,,#GoTritons,#UCSD
UC-Santa Barbara,@UCSBGauchos,,@UCSBbasketball,,#UCSB,
UCLA,@UCLAAthletics,@UCLAFootball,@UCLAMBB,#UCLAFootball,#UCLAhoops,#UCLA
UMass-Lowell,@RiverHawkNation,,@RiverHawkMBB,,#RiverHawks,
UMBC,@UMBCAthletics,,@UMBC_MBB,,#UMBC,
UMKC,@KCRoosAthletics,,@KCRoosMBB,#UMKC,#UMKC,
UNC-Asheville,@AshevilleDogs,,@UNCAvlMBB,,#UNCAsheville,
UNC-Greensboro,@UNCGSports,,@UNCGBasketball,,#UNCG,
UNC-Wilmington,@UNCWAthletics,,@UNCWMensHoops,,#UNCW,
UNLV,@UNLVAthletics,@UNLVFootball,@TheRunninRebels,#UNLV,#UNLV,
USC,@USC_Athletics,@USC_FB,@USC_Hoops,#FightOn,#FightOn,#USC
Utah,@utahathletics,@Utah_Football,@UtahMBB,#UtahUtes,#UtahUtes,
Utah State,@USUAthletics,@USUFootball,@USUBasketball,#UtahState,#UtahState,
Utah Valley,@GoUVU,,@UVUMBB,,#UVU,
UTEP,@UTEPAthletics,@UTEPFB,@UTEP_MBB,#MinerStrong,#MinerStrong,#UTEP
UTRGV,@GoUTRGV,,@UTRGVMBB,,#UTRGV,
UTSA,@UTSAAthletics,@UTSAFtbl,@UTSAMBB,#UTSA,#UTSA,
Valparaiso,@ValpoAthletics,@ValpoUFootball,@ValpoBasketball,#Valpo,#Valpo,
Vanderbilt,@VUCommodores,@VandyFootball,@VandyMBB,#Vandy,#Vandy,
Vermont,@UVMAthletics,,@UVMmbb,,#UVM,
Villanova,@NovaAthletics,@NovaFootball,@NovaMBB,#Nova,#Nova,
Virginia,@VirginiaSports,@UVAFootball,@UVAMensHoops,#UVAFootball,#GoHoos,#UVA
Virginia Commonwealth,@VCUAthletics,,@VCU_Hoops,,#VCU,
Virginia Military,@VMISID,@VMI_Football,@VMI_Basketball,#VMI,#VMI,
Virginia Tech,@HokieSports,@VT_Football,@HokiesMBB,#Hokies,#Hokies,
Wagner,@WagnerAthletics,@Wagner_Football,@Wagner_MBB,#Wagner,#Wagner,
Wake Forest,@DemonDeacons,@WakeFB,@WakeMBB,#WakeForest,#WakeForest,
Washington,@UWAthletics,@UW_Football,@UW_MBB,#GoHuskies,#GoHuskies,
Washington State,@WSUCougars,@WSUCougarFB,@WSUMensHoops,#GoCougs,#GoCougs,
Weber State,@WeberState,@WeberStateFB,@WeberStateMBB,#WeberState,#WeberState,
West Virginia,@WVUSports,@WVUFootball,@WVUHoops,#WVU,#WVU,
Western Carolina,@Catamounts,@WCU_FB,@WCU_MBB,#WCU,#WCU,
Western Illinois,@WIUAthletics,@WIUFootball,@WIUMensHoops,#WIU,#WIU,
Western Kentucky,@WKUSports,@WKUFootball,@WKU Basketball,#WKU,#WKU,
Western Michigan,@WMUBroncos,@WMU_Football,@WMUMBB,#WMU,#WMU,
Wichita State,@GoShockers,,@GoShockersMBB,,#Shockers,
William & Mary,@TribeAthletics,@WMTribeFootball,@WMTribeMBB,#GoTribe,#GoTribe,
Winthrop,@WUEagles,,@Winthrop_MBB,,#Winthrop,
Wisconsin,@UWBadgers,@BadgerFootball,@BadgerMBB,#Badgers,#Badgers,
Wofford,@WoffordTerriers,@Wofford_FB,@WoffordMBB,#Wofford,#Wofford,
Wright State,@WSURaiders,@WrightStFball,@WSU_MBB,#WrightState,#WrightState,
Wyoming,@WyoAthletics,@Wyo_Football,@Wyo_MBB,#GoWyo,#GoWyo,
Xavier,@XUAthletics,,@XavierMBB,,#Xavier,
Yale,@YaleAthletics,@Yale_Football,@Yale_Basketball,#Yale,#Yale,
Youngstown State,@YSUSports,@YoungstownStFB,@YSUMensHoops,#YSU,#YSU,
